type,words,orig_type,id
reliable,"{'sinc': 1, '<number>': 2, 'nearli': 1, 'million': 1, 'american': 1, 'have': 1, 'slip': 1, 'out': 1, 'of': 1, 'the': 1, 'middl': 1, 'class': 1, 'and': 1, 'into': 1, 'poverti': 1}",half-true,10
fake,"{'when': 1, 'mitt': 1, 'romney': 1, 'wa': 1, 'governor': 1, 'of': 3, 'massachusett': 1, 'we': 2, 'didnt': 1, 'just': 1, 'slow': 1, 'the': 1, 'rate': 1, 'growth': 1, 'our': 1, 'govern': 1, 'actual': 1, 'cut': 1, 'it': 1}",false,11
reliable,"{'the': 2, 'economi': 1, 'bled': 1, '<cur><number>': 1, 'billion': 1, 'due': 1, 'to': 1, 'govern': 1, 'shutdown': 1}",mostly-true,12
fake,"{'most': 1, 'of': 1, 'the': 1, 'afford': 1, 'care': 1, 'act': 1, 'ha': 1, 'alreadi': 1, 'in': 1, 'some': 1, 'sens': 1, 'been': 1, 'waiv': 1, 'or': 1, 'otherwis': 1, 'suspend': 1}",barely-true,13
reliable,"{'in': 2, 'thi': 1, 'last': 1, 'elect': 1, 'novemb': 1, '<number>': 3, 'percent': 3, 'of': 3, 'the': 1, 'american': 1, 'peopl': 2, 'chose': 2, 'not': 2, 'to': 2, 'vote': 2, 'young': 1, 'and': 1, 'lowincom': 1, 'worker': 1}",half-true,14
reliable,"{'mccain': 1, 'oppos': 1, 'a': 1, 'requir': 1, 'that': 1, 'the': 1, 'govern': 1, 'buy': 1, 'americanmad': 1, 'motorcycl': 1, 'and': 1, 'he': 1, 'said': 1, 'all': 1, 'buyamerican': 1, 'provis': 1, 'were': 1, 'quot': 1, 'disgrac': 1}",true,15
fake,"{'us': 1, 'rep': 1, 'ron': 1, 'kind': 1, 'dwi': 1, 'and': 2, 'hi': 1, 'fellow': 1, 'democrat': 1, 'went': 1, 'on': 1, 'a': 1, 'spend': 1, 'spree': 1, 'now': 1, 'their': 1, 'credit': 1, 'card': 1, 'is': 1, 'max': 1, 'out': 1}",barely-true,16
reliable,"{'water': 1, 'rate': 1, 'in': 1, 'manila': 1, 'philippin': 1, 'were': 1, 'rais': 1, 'up': 1, 'to': 1, '<number>': 1, 'percent': 1, 'when': 1, 'a': 2, 'subsidiari': 1, 'of': 1, 'the': 1, 'world': 1, 'bank': 1, 'becam': 1, 'partial': 1, 'owner': 1}",half-true,17
reliable,"{'almost': 1, '<number>': 1, 'peopl': 1, 'left': 1, 'puerto': 1, 'rico': 1, 'last': 1, 'year': 1}",mostly-true,18
fake,"{'women': 1, 'and': 1, 'men': 1, 'both': 1, 'are': 1, 'make': 1, 'less': 1, 'when': 2, 'you': 1, 'adjust': 1, 'for': 1, 'inflat': 1, 'than': 1, 'john': 1, 'kitzhab': 1, 'wa': 1, 'first': 1, 'elect': 1, 'governor': 1}",false,19
reliable,"{'the': 3, 'unit': 1, 'state': 1, 'ha': 1, 'highest': 1, 'corpor': 1, 'tax': 1, 'rate': 1, 'in': 1, 'free': 1, 'world': 1}",mostly-true,20
reliable,"{'we': 1, 'just': 1, 'had': 1, 'the': 2, 'best': 1, 'year': 1, 'for': 1, 'auto': 1, 'industri': 1, 'in': 2, 'america': 1, 'histori': 1}",mostly-true,21
reliable,"{'say': 1, 'scott': 1, 'walker': 1, 'favor': 1, 'cut': 1, 'up': 1, 'to': 1, '<number>': 1, 'famili': 1, 'and': 1, 'children': 1, 'off': 1, 'health': 1, 'care': 1}",half-true,22
fake,"{'say': 1, 'mitt': 1, 'romney': 1, 'want': 1, 'to': 1, 'get': 1, 'rid': 1, 'of': 1, 'plan': 1, 'parenthood': 1}",barely-true,23
fake,"{'i': 1, 'dont': 1, 'know': 1, 'who': 1, 'jonathan': 1, 'gruber': 1, 'is': 1}",false,24
reliable,"{'hate': 1, 'crime': 1, 'against': 1, 'american': 1, 'muslim': 1, 'and': 2, 'mosqu': 1, 'have': 1, 'tripl': 1, 'after': 1, 'pari': 1, 'san': 1, 'bernardino': 1}",mostly-true,25
reliable,"{'rick': 1, 'perri': 1, 'ha': 1, 'never': 1, 'lost': 1, 'an': 1, 'elect': 2, 'and': 1, 'remain': 1, 'the': 2, 'onli': 1, 'person': 1, 'to': 1, 'have': 1, 'won': 1, 'texa': 1, 'governorship': 1, 'three': 1, 'time': 1, 'in': 1, 'landslid': 1}",half-true,26
fake,"{'isi': 1, 'support': 1, 'tweet': 1, 'at': 2, '<number><number>': 2, 'am': 2, 'shoot': 1, 'began': 1, 'in': 1, 'chattanooga': 1, 'tenn': 1}",false,27
reliable,"{'youth': 1, 'unemploy': 1, 'in': 1, 'minor': 1, 'commun': 1, 'is': 1, 'about': 1, '<number>': 2, 'to': 1, 'percent': 1}",mostly-true,28
reliable,"{'say': 1, 'paul': 1, 'ryan': 1, 'is': 1, 'still': 1, 'endors': 1, 'trump': 1}",true,29
fake,"{'if': 1, 'you': 1, 'look': 1, 'at': 1, 'state': 1, 'that': 1, 'are': 1, 'right': 1, 'to': 1, 'work': 1, 'they': 2, 'constantli': 1, 'do': 1, 'not': 1, 'have': 2, 'budget': 1, 'deficit': 1, 'and': 1, 'veri': 1, 'good': 1, 'busi': 1, 'climat': 1}",barely-true,30
fake,"{'what': 1, 'the': 3, 'obama': 1, 'administr': 1, 'is': 2, 'go': 2, 'to': 3, 'come': 1, 'out': 1, 'with': 1, 'in': 2, 'next': 1, 'sever': 1, 'month': 1, 'your': 1, 'not': 1, 'even': 1, 'be': 1, 'abl': 1, 'burn': 1, 'coal': 1, 'veri': 1, 'limitedli': 1, 'exist': 1, 'plant': 1}",false,31
reliable,"{'we': 1, 'cut': 1, 'busi': 3, 'tax': 2, 'so': 1, 'today': 1, '<number>': 1, 'percent': 1, 'of': 1, 'our': 1, 'dont': 1, 'pay': 1, 'a': 1}",mostly-true,32
reliable,"{'say': 1, 'mark': 1, 'pryor': 1, 'vote': 1, 'with': 1, 'obama': 1, '<number>': 1, 'percent': 1, 'of': 1, 'the': 1, 'time': 1}",mostly-true,33
reliable,"{'we': 1, 'have': 2, 'a': 1, 'feder': 1, 'govern': 1, 'that': 1, 'think': 1, 'they': 1, 'the': 1, 'author': 1, 'to': 1, 'regul': 1, 'our': 1, 'toilet': 1, 'seat': 1}",true,34
reliable,"{'austin': 1, 'is': 1, 'a': 1, 'citi': 1, 'that': 1, 'ha': 1, 'basic': 1, 'doubl': 1, 'in': 1, 'size': 1, 'everi': 1, '<number>': 1, 'year': 1, 'or': 1, 'so': 1, 'sinc': 1, 'it': 1, 'wa': 1, 'found': 1}",true,35
reliable,"{'the': 5, 'nuclear': 3, 'test': 3, 'conduct': 2, 'in': 1, 'our': 1, 'nation': 1, 'thi': 1, 'time': 1, 'is': 1, 'earth': 1, '<number>000th': 1, 'five': 1, 'perman': 1, 'member': 1, 'of': 2, 'un': 1, 'secur': 1, 'council': 1, 'have': 1, '<number>': 1, 'percent': 1, 'total': 1}",true,36
fake,"{'in': 1, 'the': 3, 'case': 1, 'of': 2, 'a': 1, 'catastroph': 1, 'event': 1, 'atlantaarea': 1, 'offic': 1, 'center': 1, 'for': 1, 'diseas': 1, 'control': 1, 'and': 1, 'prevent': 1, 'will': 1, 'selfdestruct': 1}",pants-fire,37
reliable,"{'under': 2, 'presid': 2, 'georg': 1, 'w': 1, 'bush': 1, 'we': 1, 'ad': 2, '<cur><number>': 2, 'trillion': 2, 'to': 2, 'the': 2, 'debt': 2, 'obama': 1, 'weve': 1}",true,38
fake,"{'say': 1, 'a': 1, 'us': 2, 'suprem': 1, 'court': 1, 'justic': 1, 'suggest': 1, 'that': 1, 'some': 1, 'case': 1, 'will': 1, 'be': 1, 'decid': 1, 'base': 1, 'on': 1, 'south': 1, 'african': 1, 'law': 1}",false,39
reliable,"{'say': 1, 'marco': 1, 'rubio': 1, 'skip': 1, '<number>': 1, 'defens': 1, 'vote': 1, 'includ': 1, 'one': 1, 'to': 2, 'arm': 1, 'the': 1, 'kurd': 1, 'fight': 1, 'isi': 1}",half-true,40
fake,"{'rep': 1, 'david': 1, 'cicillin': 1, 'is': 1, 'respons': 1, 'for': 1, 'the': 2, 'feder': 1, 'loan': 1, 'guarante': 1, 'to': 1, 'solyndra': 1, 'fail': 1, 'solar': 1, 'compani': 1}",pants-fire,41
fake,"{'say': 1, 'ohio': 1, 'budget': 1, 'item': 1, 'later': 1, 'sign': 1, 'into': 1, 'law': 1, 'by': 1, 'gov': 1, 'john': 1, 'kasich': 1, 'requir': 1, 'women': 1, 'seek': 1, 'an': 1, 'abort': 1, 'to': 1, 'undergo': 1, 'a': 1, 'mandatori': 1, 'vagin': 1, 'probe': 1}",pants-fire,42
fake,"{'we': 1, 'have': 1, 'a': 1, 'director': 1, 'of': 1, 'homeland': 1, 'secur': 1, 'who': 1, 'cannot': 1, 'use': 2, 'and': 1, 'will': 1, 'not': 1, 'the': 1, 'term': 1, 'terrorist': 1, 'attack': 1, 'but': 1, 'instead': 1, 'substitut': 1, 'manmad': 1, 'disast': 1}",false,43
reliable,"{'africanamerican': 1, 'youth': 2, 'unemploy': 2, 'is': 2, '<number>': 2, 'percent': 2, 'hispan': 1}",half-true,44
fake,"{'obamacar': 1, 'will': 1, 'provid': 1, 'insur': 1, 'to': 1, 'all': 1, 'nonu': 1, 'resid': 1, 'even': 1, 'if': 1, 'they': 1, 'are': 1, 'here': 1, 'illeg': 1}",pants-fire,45
fake,"{'presid': 1, 'barack': 1, 'obama': 1, 'took': 1, 'exactli': 1, 'none': 1, 'of': 1, 'hi': 1, 'own': 1, 'deficit': 1, 'reduct': 1, 'commiss': 1, 'idea': 1, 'not': 1, 'one': 1}",false,46
fake,"{'it': 1, 'wa': 1, 'under': 1, 'barack': 1, 'obama': 1, 'and': 1, 'hillari': 1, 'clinton': 1, 'that': 2, 'chang': 1, 'the': 1, 'rule': 1, 'of': 1, 'engag': 1, 'probabl': 1, 'cost': 1, 'capt': 1, 'humayun': 1, 'khan': 1, 'life': 1}",pants-fire,47
reliable,"{'hillari': 1, 'clinton': 1, 'in': 1, '<number>': 1, 'cosponsor': 1, 'legisl': 1, 'that': 1, 'would': 1, 'jail': 1, 'flag': 1, 'burner': 1}",true,48
fake,"{'say': 1, 'the': 3, 'paperback': 1, 'edit': 1, 'of': 1, 'mitt': 1, 'romney': 1, 'book': 1, 'delet': 1, 'line': 1, 'that': 1, 'massachusett': 1, 'individu': 1, 'mandat': 1, 'should': 1, 'be': 1, 'model': 1, 'for': 1, 'countri': 1}",barely-true,49
fake,"{'maggi': 1, 'hassan': 1, 'rais': 1, 'tuition': 1, 'make': 1, 'it': 1, 'the': 1, 'highest': 1, 'in': 1, 'america': 1}",barely-true,50
fake,"{'say': 1, 'terri': 1, 'mcauliff': 1, 'is': 1, 'the': 3, 'person': 1, 'who': 1, 'invent': 1, 'scheme': 1, 'to': 1, 'rent': 1, 'out': 1, 'lincoln': 1, 'bedroom': 1}",false,51
reliable,"{'we': 2, 'creat': 1, '<number>': 1, 'new': 2, 'job': 2, 'cut': 1, 'the': 1, 'unemploy': 1, 'rate': 1, 'almost': 1, 'in': 2, 'half': 1, 'and': 1, 'today': 1, 'york': 1, 'state': 1, 'ha': 2, 'more': 1, 'privat': 1, 'sector': 1, 'than': 1, 'it': 2, 'ever': 1, 'had': 1, 'histori': 1}",true,52
fake,"{'we': 1, 'have': 2, 'town': 1, 'in': 2, 'west': 1, 'texa': 1, 'that': 2, 'are': 2, 'out': 1, 'of': 1, 'water': 2, 'to': 1, 'truck': 1}",barely-true,53
reliable,"{'in': 1, 'georgia': 1, 'women': 1, 'earn': 2, '<number>': 1, 'cent': 1, 'for': 1, 'everi': 1, 'dollar': 1, 'by': 1, 'men': 1}",half-true,54
reliable,"{'a': 1, 'feder': 1, 'system': 1, 'that': 1, 'verifi': 1, 'employe': 1, 'are': 1, 'author': 1, 'to': 2, 'work': 1, 'in': 2, 'the': 3, 'us': 1, 'is': 1, 'inaccur': 1, 'anywher': 1, 'from': 1, '<number>': 2, 'percent': 2, 'all': 1, 'way': 1, 'up': 1, 'excess': 1, 'of': 2, 'time': 1}",half-true,55
fake,"{'they': 2, 'were': 1, 'go': 1, 'to': 1, 'build': 1, 'the': 1, 'wall': 1, 'a': 1, 'while': 1, 'ago': 2, 'not': 1, 'so': 1, 'long': 1, 'like': 1, 'in': 1, '<number>': 1, 'and': 1, 'couldnt': 1, 'get': 1, 'environment': 1, 'impact': 1, 'statement': 1}",barely-true,56
fake,"{'sen': 1, 'obama': 1, 'campaign': 1, 'announc': 1, 'that': 1, 'he': 1, 'choos': 1, 'hi': 1, 'cabinet': 1}",false,57
reliable,"{'in': 2, '<number>': 3, 'onli': 2, 'percent': 2, 'of': 1, 'latino': 1, 'texa': 1, 'were': 1, 'regist': 1, 'to': 1, 'vote': 1, 'and': 1, 'actual': 1, 'turn': 1, 'out': 1}",mostly-true,58
fake,"{'onli': 1, '<number>': 1, 'percent': 1, 'of': 1, 'public': 1, 'high': 1, 'school': 1, 'in': 1, 'the': 1, 'countri': 1, 'offer': 1, 'pe': 1, 'class': 1}",false,59
reliable,"{'said': 1, 'he': 1, 'the': 1, 'onli': 1, 'republican': 1, 'candid': 1, 'who': 1, 'actual': 1, 'turn': 1, 'around': 1, 'a': 1, 'govern': 1, 'economi': 1}",mostly-true,60
reliable,"{'on': 1, 'militari': 1, 'recruit': 1, 'at': 1, 'harvard': 1, 'elena': 1, 'kagan': 1, 'took': 1, 'a': 1, 'posit': 1, 'and': 1, 'the': 1, 'suprem': 1, 'court': 1, 'rule': 1, 'unanim': 1, 'that': 1, 'she': 1, 'wa': 1, 'wrong': 1}",true,61
reliable,"{'there': 2, 'are': 2, '<number>': 2, 'public': 2, 'school': 2, 'teacher': 1, 'in': 2, 'texa': 1, 'and': 1, 'nonteach': 1, 'our': 1}",mostly-true,62
fake,"{'under': 1, 'mayor': 1, 'cicillin': 1, 'provid': 1, 'wa': 1, 'a': 1, 'sanctuari': 1, 'citi': 1}",false,63
fake,"{'transgend': 1, 'individu': 1, 'in': 1, 'the': 1, 'us': 1, 'have': 1, 'a': 1, '<number>in<number>': 1, 'chanc': 1, 'of': 1, 'be': 1, 'murder': 1}",pants-fire,64
reliable,"{'at': 1, 'bain': 1, 'capit': 1, 'we': 1, 'help': 1, 'start': 1, 'an': 1, 'earli': 1, 'childhood': 1, 'learn': 1, 'compani': 1, 'call': 1, 'bright': 1, 'horizon': 1, 'that': 1, 'first': 1, 'ladi': 1, 'michel': 1, 'obama': 1, 'rightli': 1, 'prais': 1}",true,65
fake,"{'say': 1, 'the': 2, 'man': 1, 'who': 1, 'rush': 1, 'stage': 1, 'at': 1, 'him': 1, 'in': 2, 'dayton': 1, 'ohio': 1, 'had': 1, 'chatter': 1, 'about': 1, 'isi': 2, 'or': 1, 'with': 1, 'hi': 1, 'social': 1, 'media': 1, 'post': 1}",false,66
fake,"{'us': 1, 'rep': 1, 'phil': 1, 'gingrey': 1, 'gave': 1, 'the': 2, 'govern': 1, 'power': 1, 'to': 1, 'electron': 1, 'spi': 1, 'on': 1, 'american': 1, 'without': 1, 'a': 1, 'warrant': 1}",barely-true,67
fake,"{'alex': 1, 'sink': 1, 'funnel': 1, 'three': 1, 'quarter': 1, 'of': 2, 'a': 1, 'million': 1, 'dollar': 1, 'in': 1, 'nobid': 1, 'contract': 1, 'to': 1, 'bank': 1, 'america': 1}",barely-true,68
reliable,"{'if': 1, 'you': 1, 'take': 1, 'the': 1, 'popul': 1, 'growth': 1, 'here': 1, 'in': 1, 'virginia': 1, 'we': 1, 'are': 1, 'net': 1, 'zero': 1, 'on': 1, 'job': 1, 'creation': 1, 'sinc': 1, 'bob': 1, 'mcdonnel': 1, 'becam': 1, 'governor': 1}",true,69
fake,"{'under': 1, 'obama': 1, 'home': 1, 'valu': 1, 'in': 1, 'florida': 1, 'collaps': 1, 'construct': 1, 'job': 1, 'were': 1, 'lost': 1, 'and': 1, 'the': 1, 'state': 1, 'had': 1, 'a': 1, 'high': 1, 'foreclosur': 1, 'rate': 1}",barely-true,70
reliable,"{'the': 1, 'new': 1, 'arizona': 1, 'immigr': 1, 'law': 1, 'say': 1, 'that': 1, 'ani': 1, 'polic': 1, 'offic': 1, 'can': 1, 'stop': 1, 'anyon': 1, 'who': 1, 'appear': 1, 'to': 2, 'them': 1, 'be': 2, 'reason': 1, 'suspici': 1, 'of': 1, 'an': 1, 'undocu': 1, 'person': 1}",mostly-true,71
reliable,"{'the': 3, 'onli': 1, 'time': 1, 'in': 1, 'our': 1, 'histori': 1, 'when': 1, 'debt': 1, 'ha': 1, 'been': 1, 'higher': 1, 'than': 1, 'thi': 1, 'wa': 1, 'end': 1, 'of': 1, 'world': 1, 'war': 1, 'ii': 1}",mostly-true,72
reliable,"{'the': 3, 'cost': 1, 'of': 1, 'health': 1, 'care': 1, 'is': 1, 'now': 1, 'singlebiggest': 1, 'factor': 1, 'drive': 1, 'down': 1, 'feder': 1, 'budget': 1, 'deficit': 1}",mostly-true,73
reliable,"{'dure': 1, 'the': 3, 'recess': 1, 'consum': 1, 'in': 1, 'hi': 1, 'nativ': 1, 'pervers': 1, 'ha': 1, 'begun': 1, 'to': 1, 'save': 2, 'rate': 1, 'is': 1, 'now': 1, '<number>': 1, 'percent': 1}",true,74
fake,"{'on': 1, 'whether': 1, 'a': 1, 'us': 1, 'suprem': 1, 'court': 1, 'nomine': 1, 'should': 1, 'be': 1, 'forthcom': 1, 'at': 1, 'confirm': 1, 'hear': 1}",false,75
fake,"{'say': 1, 'one': 1, 'out': 1, 'of': 1, 'three': 1, 'us': 1, 'homeless': 1, 'men': 1, 'is': 1, 'a': 1, 'veteran': 1}",barely-true,76
fake,"{'say': 1, 'charli': 1, 'crist': 1, 'support': 1, 'cut': 1, 'to': 1, 'the': 1, 'medicar': 1, 'advantag': 1, 'program': 1}",false,77
reliable,"{'i': 1, 'think': 1, 'it': 1, 'is': 1, 'unaccept': 1, 'for': 1, 'the': 2, 'chines': 1, 'today': 1, 'to': 1, 'be': 1, 'larger': 1, 'in': 2, 'wind': 1, 'power': 1, 'and': 2, 'solar': 1, 'panel': 1, 'photovolta': 1, 'manufactur': 1, 'than': 1, 'all': 1, 'of': 1, 'europ': 1, 'put': 1, 'togeth': 1, 'forget': 1, 'unit': 1, 'state': 1}",half-true,78
reliable,"{'say': 1, 'scott': 1, 'brown': 1, 'cosponsor': 1, 'legisl': 1, 'to': 1, 'let': 1, 'employ': 1, 'deni': 1, 'women': 1, 'coverag': 1, 'for': 1, 'birth': 1, 'control': 1}",true,79
reliable,"{'at': 1, 'some': 1, 'point': 1, 'in': 1, 'their': 1, 'live': 1, '<number>': 1, 'of': 1, 'women': 1, 'use': 1, 'birth': 1, 'control': 1}",half-true,80
fake,"{'in': 2, 'the': 1, 'past': 1, '<number>': 1, 'year': 1, 'egypt': 1, 'ha': 1, 'made': 1, 'great': 1, 'stride': 1, 'polit': 1, 'and': 1, 'democrat': 1, 'reform': 1}",false,81
fake,"{'the': 2, 'amount': 1, 'of': 2, 'attent': 1, 'paid': 1, 'thi': 1, 'week': 1, 'to': 1, 'chri': 1, 'christi': 1, 'make': 1, 'coverag': 1, 'benghazi': 1, 'pale': 1, 'in': 1, 'signific': 1}",false,82
reliable,"{'say': 1, 'us': 1, 'rep': 1, 'steve': 1, 'southerland': 1, 'vote': 1, 'to': 1, 'keep': 1, 'the': 1, 'shutdown': 1, 'go': 1}",true,83
reliable,"{'in': 1, 'rick': 1, 'perri': 1, 'texa': 1, 'we': 1, 'import': 1, 'nurs': 1, 'from': 1, 'other': 1, 'countri': 1}",half-true,84
reliable,"{'there': 1, 'is': 1, 'a': 2, 'feder': 1, 'crimin': 1, 'law': 1, 'that': 1, 'say': 1, 'it': 1, 'crime': 1, 'to': 1, 'transport': 1, 'dentur': 1, 'across': 1, 'state': 1, 'line': 1}",mostly-true,85
reliable,"{'we': 1, 'built': 1, 'a': 1, 'new': 1, 'prison': 1, 'everi': 1, '<number>': 3, 'day': 1, 'between': 1, 'and': 1, 'to': 1, 'keep': 1, 'up': 1, 'with': 1, 'our': 1, 'mass': 1, 'incarcer': 1, 'explos': 1, 'of': 1, 'nonviol': 1, 'offend': 1}",mostly-true,86
fake,"{'sen': 1, 'mccain': 1, 'tax': 1, 'plan': 1, 'provid': 1, 'virtual': 1, 'noth': 1, 'to': 1, 'the': 1, 'middl': 1, 'class': 1}",barely-true,87
fake,"{'austin': 1, 'is': 1, 'burden': 1, 'by': 1, 'the': 2, 'fastestgrow': 1, 'tax': 1, 'increas': 1, 'of': 1, 'ani': 1, 'major': 1, 'citi': 1, 'in': 1, 'nation': 1}",false,88
fake,"{'phoenix': 1, 'arizona': 1, 'is': 1, 'the': 2, 'no': 1, '<number>': 1, 'kidnap': 1, 'capit': 1, 'of': 1, 'world': 1}",false,89
reliable,"{'i': 1, 'belong': 1, 'to': 1, 'the': 1, 'aflcio': 1}",true,90
reliable,"{'the': 1, 'insur': 1, 'commission': 1, 'cant': 1, 'do': 1, 'squat': 1, 'about': 1, 'health': 1, 'care': 1}",mostly-true,91
reliable,"{'say': 1, 'a': 1, 'poll': 1, 'found': 1, 'him': 1, 'the': 1, 'onli': 1, 'republican': 1, 'candid': 1, 'who': 1, 'could': 1, 'beat': 1, 'barack': 1, 'obama': 1, 'in': 1, 'texa': 1, 'and': 1, 'by': 1, 'eight': 1, 'point': 1}",half-true,92
fake,"{'presid': 1, 'ronald': 1, 'reagan': 1, 'sent': 1, 'troop': 1, 'into': 1, 'conflict': 1, 'onli': 1, 'in': 4, 'one': 1, 'circumst': 1, 'which': 1, 'wa': 1, 'grenada': 1, 'we': 1, 'were': 1, 'a': 1, 'peacekeep': 1, 'set': 1, 'lebanon': 1}",barely-true,93
fake,"{'say': 1, 'david': 1, 'jolli': 1, 'support': 1, 'privat': 1, 'social': 1, 'secur': 1}",barely-true,94
reliable,"{'did': 1, 'you': 1, 'know': 1, 'us': 1, 'popul': 1, 'growth': 1, 'is': 1, 'at': 1, 'it': 1, 'lowest': 1, 'sinc': 1, 'the': 1, 'great': 1, 'depress': 1}",true,95
reliable,"{'the': 1, 'averag': 1, 'student': 1, 'in': 1, 'florida': 1, 'what': 2, 'they': 2, 'actual': 1, 'pay': 1, 'out': 1, 'of': 1, 'pocket': 1, 'at': 1, 'our': 1, 'major': 1, 'univers': 1, 'for': 1, 'tuition': 1, 'is': 1, 'as': 1, 'much': 1, 'or': 1, 'less': 1, 'than': 1, 'spend': 1, 'on': 1, 'cellphon': 1}",mostly-true,96
reliable,"{'sinc': 1, '<number>': 1, 'more': 1, 'american': 1, 'have': 1, 'die': 2, 'from': 1, 'gunfir': 1, 'than': 1, 'in': 1, 'all': 1, 'the': 1, 'war': 1, 'of': 1, 'thi': 1, 'countri': 1, 'histori': 1}",true,97
reliable,"{'a': 3, 'foreclosur': 2, 'tax': 2, 'that': 1, 'would': 1, 'take': 1, 'effect': 1, 'in': 1, '<number>': 1, 'could': 1, 'mean': 1, 'high': 1, 'bill': 1, 'for': 1, 'those': 1, 'face': 1, 'and': 1, 'million': 1, 'of': 1, 'famili': 1, 'who': 1, 'modifi': 1, 'their': 2, 'mortgag': 1, 'or': 1, 'had': 1, 'short': 1, 'sale': 1, 'through': 1, 'lender': 1}",mostly-true,98
fake,"{'the': 1, 'florida': 1, 'depart': 1, 'of': 1, 'agricultur': 1, 'websit': 1, 'freshfromfloridacom': 1, 'can': 1, 'be': 1, 'use': 1, 'to': 2, 'get': 1, 'a': 2, 'permit': 1, 'carri': 1, 'load': 1, 'hidden': 1, 'gun': 1, 'without': 1, 'ever': 1, 'leav': 1, 'your': 1, 'hous': 1}",false,99
fake,"{'the': 2, 'atlanta': 1, 'streetcar': 1, 'is': 1, 'expect': 1, 'to': 1, 'creat': 1, '<number>': 3, 'job': 2, 'dure': 1, 'construct': 1, 'total': 1, 'more': 1, 'than': 1, 'over': 1, 'next': 1, 'year': 1}",pants-fire,100
reliable,"{'rais': 1, 'the': 1, 'minimum': 1, 'wage': 1, 'to': 1, '<cur><number>': 1, 'an': 1, 'hour': 1, 'would': 1, 'help': 1, 'lift': 1, 'over': 1, 'a': 1, 'million': 1, 'american': 1, 'out': 1, 'of': 1, 'poverti': 1}",mostly-true,101
reliable,"{'say': 1, 'secretari': 1, 'of': 2, 'state': 1, 'john': 1, 'kerri': 1, 'when': 1, 'he': 1, 'wa': 1, 'a': 2, 'senat': 1, 'flew': 1, 'to': 1, 'managua': 1, 'and': 2, 'met': 1, 'with': 1, 'communist': 1, 'dictat': 1, 'there': 1, 'daniel': 1, 'ortega': 1, 'accus': 1, 'the': 1, 'reagan': 1, 'administr': 1, 'engag': 1, 'in': 1, 'terror': 1}",mostly-true,102
